P\T,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390
1000.0,999.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5000.0,999.8,999.7,998.3028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000.0,999.8,999.8,998.3029,995.7184,992.2604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50000.0,999.8,999.8,998.3029,995.7184,992.2604,988.0447,983.1875,977.7033,971.6234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100000.0,999.8,999.8000000000001,998.3029,995.7184,992.2604,988.0447,983.1875,977.7033,971.6234,965.1578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150000.0,999.9,999.8,998.3029,995.8176,992.3588,988.0447,983.1875,977.7033,971.7229,965.1578,958.1297,950.6607,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200000.0,999.9,999.8,998.4026,995.8176,992.3588,988.1423,983.1875,977.7033,971.7229,965.1578,958.1297,950.7511,942.8625,,,,,,,,,,,,,,,,,,,,,,,,,,,
250000.0,999.9,999.9,998.4026,995.8176,992.3588,988.1423,983.2842,977.8039,971.7229,965.1578,958.2215,950.7511,942.8625,,,,,,,,,,,,,,,,,,,,,,,,,,,
300000.0,999.9,999.9,998.4026,995.8176,992.3588,988.1423,983.2842,977.8039,971.7229,965.251,958.2215,950.7511,942.8625,934.5794,,,,,,,,,,,,,,,,,,,,,,,,,,
400000.0,1000.0,999.9,998.5022,995.9167,992.4537,988.2399,983.2842,977.8039,971.8173,965.251,958.2215,950.8415,942.9514,934.6668,925.9259,,,,,,,,,,,,,,,,,,,,,,,,,
500000.0,1000.0,1000.0,998.5022,995.9167,992.4573,988.2399,983.3809,977.8995,971.8173,965.3441,958.3134,950.8415,942.9514,934.6668,925.9259,916.7583,,,,,,,,,,,,,,,,,,,,,,,,
600000.0,1000.1,1000.0,998.5022,996.0159,992.5558,988.2399,983.3809,977.8995,971.9118,965.3441,958.4052,950.9319,943.0404,934.7542,926.0117,916.8424,,,,,,,,,,,,,,,,,,,,,,,,
700000.0,1000.1,1000.1,998.602,996.0159,992.5558,988.3376,983.4776,977.9951,971.9118,965.4373,958.4052,950.9319,943.1293,934.7542,926.0974,916.9265,907.2764,,,,,,,,,,,,,,,,,,,,,,,
800000.0,1000.1999999999999,1000.1,998.602,996.0159,992.5558,988.3376,983.4776,977.9951,972.0052,965.4373,958.4971,951.0223,943.1293,934.8415,926.0974,916.9265,907.3587,897.3439,,,,,,,,,,,,,,,,,,,,,,
900000.0,1000.1999999999999,1000.1999999999999,998.7017,996.1152,992.6544,988.4353,983.5743,978.0908,972.0062,965.5306,958.4971,951.1128,943.2183,934.9289,926.1832,917.0105,907.4,897.3439,,,,,,,,,,,,,,,,,,,,,,
1000000.0,1000.3,1000.1999999999999,998.7017,996.1152,992.6544,988.4353,983.5743,978.0908,972.1007,965.5306,958.589,951.1128,943.2183,934.9289,926.269,917.0946,907.5234,897.4244,,,,,,,,,,,,,,,,,,,,,,
1100000.0,1000.3,1000.3,998.8014,996.2114,992.7529,988.533,983.5743,978.1864,972.1007,965.6238,958.589,951.2033,943.3072,935.0164,926.269,917.1788,907.5234,897.5049,886.9966,,,,,,,,,,,,,,,,,,,,,
1200000.0,1000.4,1000.3,998.8014,996.2144,992.7529,988.533,983.6711,978.1864,972.1852,965.6238,958.6809,951.2033,943.3072,935.0164,926.3548,917.1788,907.6057,897.5855,886.9966,,,,,,,,,,,,,,,,,,,,,
1300000.0,1000.4,1000.4,998.9012,996.3136,992.8515,988.6307,983.6711,978.1864,972.1952,965.717,958.6809,951.2938,943.3962,935.1038,926.4406,917.2629,907.6881,897.6661,887.0753,876.0403,,,,,,,,,,,,,,,,,,,,
1400000.0,1000.5,1000.4,998.9012,996.3136,992.3515,988.6307,983.7678,978.2821,972.2897,965.717,958.7728,951.2938,943.4852,935.1912,926.4406,917.347,907.7705,897.6661,887.154,876.117,,,,,,,,,,,,,,,,,,,,
1500000.0,1000.5,1000.5,999.001,996.4129,992.9501,988.7285,983.7678,978.2821,972.2897,965.8103,958.7728,951.3843,943.4852,935.1912,926.5265,917.347,907.7705,897.7467,887.2327,876.1938,,,,,,,,,,,,,,,,,,,,
1600000.0,1000.5999999999999,1000.5,999.001,996.4129,992.9501,988.7285,983.8646,978.3779,972.3843,965.8103,958.8647,951.3843,943.5743,935.2787,926.5265,917.4312,907.8529,897.8273,887.3114,876.2716,,,,,,,,,,,,,,,,,,,,
1700000.0,1000.5999999999999,1000.5,999.001,996.4129,992.9501,988.7285,983.8646,978.3779,972.3843,965.9036,958.8647,951.4748,943.5743,935.3662,926.6123,917.5154,907.9354,897.9079,887.3902,876.3474,864.8275,,,,,,,,,,,,,,,,,,,
1800000.0,1000.7000000000002,1000.5999999999999,999.101,996.5122,993.0487,988.8263,983.9614,978.4736,972.4738,965.9036,958.9567,951.4748,943.6633,935.3662,926.6982,917.5154,908.0178,897.9885,887.4689,876.4242,864.9023,,,,,,,,,,,,,,,,,,,
1900000.0,1000.7000000000002,1000.5999999999999,999.101,996.5122,993.0487,988.8263,983.9614,978.4736,972.4738,965.9969,958.9567,951.5653,943.7524,935.4537,926.6982,917.5996,908.0178,897.9885,887.5477,876.501,864.9771,,,,,,,,,,,,,,,,,,,
2000000.0,1000.8,1000.7000000000002,999.201,996.612,993.1473,988.9241,984.0583,978.5693,972.5734,965.9969,959.0486,951.6559,943.7524,935.4537,926.7841,917.6838,908.1003,898.0692,887.5477,876.5778,865.0519,852.8785,,,,,,,,,,,,,,,,,,
