镜像ID,镜像大小,镜像使用次数,镜像使用间隔(随机生成，没有单位)
b8001a88e95cc1ce,4.44GB,112,42.88
b8001a88e95cc1ce,4.44GB,479,470.75
aeaecfac999ec59d,2.89GB,258,235.04
0adf9b79ef15f626,2.89GB,864,253.98
06a00623ed2b2284,2.01GB,147,190.35
b581f92a82ccc402,2.01GB,83,159.9
b894ff89fa8d1e25,2.02GB,583,188.05
6e23479198b998e5,240MB,309,434.19
d3a222b2a282f9d3,1.2GB,529,62.89
d3a222b2a282f9d3,1.2GB,756,487.62
b33872cfb61a6920,203MB,337,2.21
233de06753d30d12,188MB,377,372.49
1e40b251ca9639ea,88MB,907,75.06
c4d56c24da4f009e,22.2MB,681,447.05
8feb4d8ca5354def,111MB,930,435.28
